pv
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.121
0.154
0.262
0.397
0.559
0.745
0.955
1.188
1.371
1.556
1.743
1.931
2.119
2.307
2.356
2.395
2.425
2.446
2.46
2.466
2.346
2.216
2.077
1.93
1.778
1.62
1.805
1.989
2.171
2.348
2.521
2.688
2.777
2.853
2.912
2.954
2.974
2.972
2.818
2.659
2.496
2.329
2.158
1.985
1.74
1.507
1.287
1.082
0.892
0.719
0.536
0.379
0.251
0.152
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.201
0.303
0.425
0.565
0.723
0.898
1.088
1.244
1.409
1.583
1.763
1.95
2.142
2.278
2.407
2.53
2.647
2.759
2.864
2.793
2.713
2.625
2.53
2.429
2.323
2.392
2.459
2.521
2.58
2.634
2.684
2.461
2.242
2.028
1.822
1.625
1.439
1.372
1.302
1.228
1.151
1.069
0.983
0.866
0.753
0.646
0.544
0.448
0.358
0.303
0.248
0.193
0.138
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.149
0.179
0.222
0.265
0.308
0.351
0.395
0.438
0.531
0.624
0.716
0.809
0.901
0.994
1.072
1.15
1.228
1.307
1.385
1.463
1.486
1.509
1.532
1.555
1.578
1.6
1.587
1.574
1.561
1.547
1.534
1.521
1.521
1.521
1.521
1.521
1.521
1.521
1.423
1.324
1.226
1.128
1.029
0.931
0.852
0.772
0.692
0.613
0.533
0.453
0.383
0.314
0.245
0.176
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.18
0.216
0.315
0.414
0.513
0.612
0.712
0.811
0.922
1.034
1.145
1.257
1.368
1.48
1.515
1.549
1.584
1.618
1.653
1.688
1.732
1.777
1.821
1.866
1.911
1.955
1.938
1.921
1.904
1.886
1.869
1.852
1.906
1.956
2.002
2.041
2.073
2.098
1.926
1.755
1.588
1.423
1.261
1.103
0.97
0.84
0.714
0.592
0.473
0.359
0.301
0.245
0.19
0.137
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.118
0.144
0.25
0.377
0.526
0.695
0.883
1.09
1.239
1.39
1.544
1.698
1.854
2.011
2.123
2.235
2.345
2.453
2.559
2.663
2.79
2.916
3.039
3.159
3.275
3.386
3.364
3.335
3.299
3.256
3.207
3.152
3.054
2.951
2.845
2.735
2.622
2.507
2.384
2.259
2.133
2.007
1.88
1.754
1.562
1.374
1.19
1.011
0.837
0.669
0.513
0.377
0.26
0.165
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
